,Tweets,Subjectivity,Polarity,Analysis,Facts
102,"‘Holistic cybersecurity approach’ key to successful World Cup, says Kaspersky executive",0.975,0.375,Positive,Opinion
103,"Lungi Ngidi, Lizaad Williams ruled out of ODI series against the Netherlands ",0.0,0.0,Neutral,Fact
104,": Beauty in its own 😍

This beautiful sand art is installed at the Bhubaneswar Airport to celebrate the FIH Odisha Hockey…",1.0,0.725,Positive,Opinion
105,"Pitch debate: Kohli says 'very good', Cook and Strauss disagree virat kohli india cricket ",0.7800000000000001,0.9099999999999999,Positive,Opinion
106,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
107,"Dimuth Karunaratne's Last 6 Test Innings:-

•75
•244
•118
•66
•147
•83

3 Hundreds, 3 Fifties - He is Simply amazin… ",0.2119047619047619,0.0,Neutral,Fact
108,_cricket: I don't think we are the Favourites in this Test Series against India. The depth of Indian cricket is their strength. - K…,0.0,0.0,Neutral,Fact
109,_cricket: I don't think we are the Favourites in this Test Series against India. The depth of Indian cricket is their strength. - K…,0.0,0.0,Neutral,Fact
110,: Babar continues to be on top. Virat Kohli slips out of top 10 T20I batters after a long time. ,0.4666666666666666,0.31666666666666665,Positive,Neutral
111,: Pakistan Cricket Team set new record by becoming first team ever to win most T20 matches in single year. This is despite…,0.45869408369408377,0.34415584415584416,Positive,Neutral
112," _264  🙄🙄 I like Rohit Sharma but Shikhar Dhawan is my favorite cricketer
I am a big fan of Shikhar Dhawan
😌",0.55,0.25,Positive,Neutral
113,": Here are some fascinating stats for IndvsNz. 

Share it with a friend who needs to see this!

nzvsind testcricket crick…",0.8500000000000001,0.875,Positive,Opinion
114,": I played competitive football, rugby &amp; cricket for 38 years. In the veterans teams I played in, many were not in the be…",0.5,0.5,Positive,Neutral
115,: Virat Kohli during the practice session at brabourne stadium Mumbai. ,0.0,0.0,Neutral,Fact
116,": Grateful to each and everyone for all the birthday wishes, calls and messages. Specially to my fans♥️

Huge thanks to…",0.5571428571428572,0.3190476190476191,Positive,Neutral
117,_49: I think his HS of 202 is against Australia in 2017 when they played a practice game.,0.4,-0.4,Negative,Neutral
118,India vs New Zealand 1st Test Live Streaming: When and where to watch IND vs NZ Live Online ,0.48484848484848486,0.13636363636363635,Positive,Neutral
119,: Okay. So the point of this biennial World Cup is that it would be used to fund football development. The question is FIFA a…,0.5,0.5,Positive,Neutral
120,India vs New Zealand: Indian players to watch out for | Cricket News – Times of India ,0.45454545454545453,0.13636363636363635,Positive,Neutral
121,: Fifa football conference today for clubs and other “stakeholders” today. Another push for the biennial World Cup plan. Inde…,0.375,-0.125,Negative,Neutral
122,"***1977 Albums World Cup Tournament****

GROUP B (Group Stage)
Motorhead (Motorhead) 
_nufc
vs.
Pink Flag (Wi… ",0.3,-0.1,Negative,Neutral
123," _  Even playing on is a great gesture in those circumstances.
Pulling out would b… ",0.75,0.8,Positive,Opinion
124,"Rohit sharma being the full time captain of team india in t20i
rohitsharmafan rohithaitomamlafithai",0.55,0.35,Positive,Neutral
125,Virat Kohli in the Nets batting practice sessions. ,0.0,0.0,Neutral,Fact
126,Happy birthday,1.0,0.8,Positive,Opinion
127,Manchester United contacted Roberto Mancini in an attempt to make him their next manager and his answer was ‘no’. H… ,0.0,0.0,Neutral,Fact
128,_spidey: India has lost only 2 Test matches under Virat Kohli.!Since Virat became the Test captain India didn't lose any Test seri…,1.0,0.0,Neutral,Opinion
129,"_cricket: A Virat Kohli's fan Rahul Narain kanal gifted a art frame to Virat Kohli, and Virat also liked it and also thanked him fo…",0.9,0.55,Positive,Opinion
130,"I spoke about AzeemRafiq and antisemitism in cricket on 's podcast:
 ",0.0,0.0,Neutral,Fact
131,Can you tell us in which year did the first Fifa world cup take place? TPIndia Football Question GuessTheYear… ,0.3333333333333333,0.25,Positive,Neutral
132,Quote of the day: Don’t ask difficult questions When in Arab countries!,1.0,-0.625,Negative,Opinion
133,Demountable stadium built with shipping containers reaches completion in Qatar ,0.0,0.0,Neutral,Fact
134,"Rohit
Babar Azam(C)
Fakhar Zaman/Virat
KL Rahul
Malik/Hafeez
Asif Ali/Pant
Harsanga
Rashid
Fiz
Shaheen
Bumrah

tbh… ",0.0,0.0,Neutral,Fact
135,: Virat Kohli during the practice session at brabourne stadium Mumbai. ,0.0,0.0,Neutral,Fact
136,_cricket: Virat Kohli Practicing batting in the Nets in Mumbai ahead of the second Test match against New Zealand. ,0.22727272727272727,0.06818181818181818,Positive,Fact
137,“It’s A Massive Blow”: Wasim Jaffer On KL Rahul’s Injury Ahead Of NZ Test Series | Cricket News ,1.0,0.0,Neutral,Opinion
138,": Lendl Simmons on MS Dhoni

""Dhoni will be the captain and Wicket keeper of my All-time T20 XI Squad.""

 | MSDhoni…",0.0,0.0,Neutral,Fact
139,if they cant sing then what u heard on red velvet song? A cricket? ,0.0,0.0,Neutral,Fact
140,": Lost against Australia (2017) ❌
Lost against England (2021) ❌

Team India has lost only 2 out of 30 Tests at home in Virat…",1.0,0.0,Neutral,Opinion
141,": The RBI is batting like Rohit Sharma &amp; Virat Kohli, bowling like Jasprit Bumrah &amp; Mohammed Shami together and fielding li…",0.0,0.0,Neutral,Fact
142,": Virat Kohli in 2021:

- Out of top 5️⃣ Test batters' rankings since Nov, 2016
- Lost No.1️⃣ ODI rank to Babar Azam
- Sli…",0.7,-0.15000000000000002,Negative,Neutral
143,: Rohit Sharma as snakes thread ,0.0,0.0,Neutral,Fact
144,": Welcome to the family! 💙

RIL will own &amp; operate a team in the Emirates Cricket Board's upcoming UAE T20 League. 🇦🇪🏏

Read al…",0.95,0.8,Positive,Opinion
145,: Rohit Sharma moves to number 13 in the ICC T20 batsman ranking.,0.0,0.0,Neutral,Fact
146,jaspritbumrah dataanalysis cricket python cricketanalysis Impact of Jasprit Bumrah in India’s T20 cricket ,0.0,0.0,Neutral,Fact
147,": Lendl Simmons on MS Dhoni

""Dhoni will be the captain and Wicket keeper of my All-time T20 XI Squad.""

 | MSDhoni…",0.0,0.0,Neutral,Fact
148,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
149,": 🔸 MS Dhoni
🔸 Virat Kohli
🔸 Ravindra Jadeja
🔸 Ravichandran Ashwin

The 4️⃣ Indian players who have played 50+ matches in al…",0.0,0.0,Neutral,Fact
150,  Would help if any actually played cricket.,0.1,0.0,Neutral,Fact
151,": List of teams with 100-plus T20I wins. Cricket 

Pakistan - (115 wins)

End of list.",0.2,0.3,Positive,Fact
152,": Lost against Australia (2017) ❌
Lost against England (2021) ❌

Team India has lost only 2 out of 30 Tests at home in Virat…",1.0,0.0,Neutral,Opinion
153,Going to watch the match on mute,0.0,0.0,Neutral,Fact
154,": I played competitive football, rugby &amp; cricket for 38 years. In the veterans teams I played in, many were not in the be…",0.5,0.5,Positive,Neutral
155,"Once again, we are delighted to have been listed as part of ’s Top UK cricket schools!🏏 

We are ve… ",0.6,0.6,Positive,Neutral
156,“It’s A Massive Blow”: Wasim Jaffer On KL Rahul’s Injury Ahead Of NZ Test Series | Cricket News ,1.0,0.0,Neutral,Opinion
157,"@_hypocaust: The existence of this guide, featuring a self-selected list of mostly fee-paying schools, says a lot about cricket in the U…",0.5,0.5,Positive,Neutral
158, I was pretty satisfied with all the cricket crew halloween streams we were given,1.0,0.375,Positive,Opinion
159,: Babar continues to be on top. Virat Kohli slips out of top 10 T20I batters after a long time. ,0.4666666666666666,0.31666666666666665,Positive,Neutral
160,_: Arsenal winning UCL and Uganda qualifying would be enough for me tbh,0.625,0.25,Positive,Neutral
161,"Lendl Simmons on MS Dhoni

""Dhoni will be the captain and Wicket keeper of my All-time T20 XI Squad.""

 | MSDhoni | WhistlePodu",0.0,0.0,Neutral,Fact
162,: Two journalists from Norwegian state television were arrested and held for over 30 hours by security forces in Qatar without explan…,0.0,0.0,Neutral,Fact
163,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
164,": These Indian players were never given such ""KING"" titles even after incredible performances, and a lad who has just started…",0.7,0.45,Positive,Neutral
165,": International centuries in the last 2 years since 24th November 2019. Cricket

1 - Yasir Shah (15 inns)
0 - Virat Koh…",0.03333333333333333,0.0,Neutral,Fact
166,Indian cricket team management will select batsman with good stroke making ability it test. And they will select 3-… ,0.6000000000000001,0.7,Positive,Neutral
167,": 24 November 1955. England cricket legend, Ian Botham, was born in Heswall, Cheshire. In Test cricket, he scored 14 centuries…",0.0,0.0,Neutral,Fact
168,The Pakistan Cricket Team has entered the record books by becoming the First Team to win Most T20I matches in a sin… ,0.5208333333333334,0.5,Positive,Neutral
169,_cricket: Shakib Al Hasan ruled out of the First Test match against Pakistan.,0.3333333333333333,0.25,Positive,Neutral
170,: 🚨 It is a legal requirement for fans aged 18+ to produce an 𝐍𝐇𝐒 𝐂𝐎𝐕𝐈𝐃 𝐩𝐚𝐬𝐬 to attend Saturday's match at the ,0.30000000000000004,0.05,Positive,Neutral
171,_khen _freak_9  Beeter you go and play oh sorry you even don't know Abc of cricket we all are wrong you are genius 😮,0.95,-0.5,Negative,Opinion
172,India vs New Zealand: Indian players to watch out for | Cricket News – Times of India ,0.45454545454545453,0.13636363636363635,Positive,Neutral
173,": Lost against Australia (2017) ❌
Lost against England (2021) ❌

Team India has lost only 2 out of 30 Tests at home in Virat…",1.0,0.0,Neutral,Opinion
174,"_cricket: ""Shreyas Iyer and Jayant Yadav had an extended net sessions and Axar Patel doesn't bowl in the Nets Ahead of the First Te…",0.16666666666666666,0.125,Positive,Fact
175,: Babar Azam remains at the top of the T20I Batting Rankings whilst Mohammad Rizwan has moved up to the number 4 positio…,0.5,0.5,Positive,Neutral
176,: One month anniversary of arguably the greatest night ever as a Pakistan cricket fan.,1.0,1.0,Positive,Opinion
177,": Kane Williamson (in Press) said ""I don't think we are the favorites in the Test series - the depth of India cricket is…",0.0,0.0,Neutral,Fact
178,": next T20 WC, non captain kohli will score atleast 3 centuries and we will lift the world cup",0.0,0.0,Neutral,Fact
179,": 🇮🇳 THE GABBA VICTORY
[ A THREAD ]

Australia 🇦🇺 hadn't lost a test match at Gabba since 1988
The main reason, it's pitch,…",0.3333333333333333,0.16666666666666666,Positive,Neutral
180,": India last lost a home Test series was in 2012, in this period India lost only two Tests at home - one of the legacies…",0.5333333333333333,0.0,Neutral,Neutral
181,_cricket: Shreyas Iyer will become India's 303rd Cricketer to make debut In Test Cricket on tommorow.,0.0,0.0,Neutral,Fact
182,"_vohra: Ian Smith said, ""India have left out Virat Kohli and Rohit Sharma, it intrigues me actually that we’re resting people i…",0.05,0.0,Neutral,Fact
183,_Chat: Great pleasure to host galaxy from  and from all leading think-tanks from G20   _scho…,0.75,0.8,Positive,Opinion
184,: The preparation of Virat Kohli going on at Mumbai ahead of the second Test. (Source - Mid Day) ,0.0,0.0,Neutral,Fact
185,Hafeez stepping down for Pak series in which he wont get paid (not centrally contracted) but will play T10 and LPL… ,0.2694444444444445,-0.07777777777777779,Negative,Neutral
186,9 fielders in one frame 🏏😍,0.0,0.0,Neutral,Fact
187,: J&amp;K registered its second consecutive win in the ongoing Men’s U-25 State A Trophy cricket tournament at Rajiv Gandhi…,0.2,0.4,Positive,Fact
188,"Great to have a chat with my old teammate … 

Talking all things world cup 🏆 

How ENGLAND conquered the W… ",0.475,0.45,Positive,Neutral
189,: Whilst some have tried to stir up trouble regarding the flags issue - the Bangladesh crowds have been very sporting an…,0.25,0.0,Neutral,Neutral
190,"_Jack_: Wow!! What's the AMAZING INVENTIONS OF SCIENCE 😳
FOR
😱 Masturbation!! Just relax your hand and give it a chance to masturb…",0.95,0.546875,Positive,Opinion
191,: Lack of political will?,0.1,0.0,Neutral,Fact
192,: Rohit Sharma moves to number 13 in the ICC T20 batsman ranking.,0.0,0.0,Neutral,Fact
193,"_chora: Dont say yourself a cricket freak, if you haven't tried to copy the bowling action of Legend Ashok Dinda in your childhoo…",0.1,0.1,Positive,Fact
194,": 🚨Exclusive interview with Odisha coach  🚨

➡️Challenges
➡️State of cricket in Odisha
➡️Promising players
➡️Vis…",0.0,0.0,Neutral,Fact
195,Who all going to CCI tomorrow to meet Virat Kohli while he's practicing?,0.0,0.0,Neutral,Fact
196,"_SN: I dunno about you guys, but after all those months of T20 action, I just want to sit back and watch Umesh Yadav bowling on…",0.05,0.05,Positive,Fact
197,__za:  Bafana didn’t fail to qualify they lost because they couldn’t garner enough points to proceed to the World C…,0.39999999999999997,-0.25,Negative,Neutral
198,": Four Senior Players are likely to be on rest in T20 Home Series against West Indies.

PakvsWI",1.0,0.0,Neutral,Opinion
199,India vs New Zealand: Rahul Dravid becomes spinner in Team India Nets ahead of Kanpur Test. Watch | Cricket News ,0.45454545454545453,0.13636363636363635,Positive,Neutral
200,_rebelll Yes. Dhoni's first ever test match as a captain was on this ground - ended in less than 3 days,0.19999999999999998,0.04166666666666667,Positive,Fact
201,: Mohammad Rizwan and his beloved pillow arrived earlier in Chattogram BANvPAK Cricket ,0.75,0.35,Positive,Opinion
202,": 4. Prasidh Krishna induces edge off Rahane.
But as Sunil Gavaskar said, whenever he didn't feel good at nets his concentr…",0.6000000000000001,0.7,Positive,Neutral
203,: Virat Kohli during the practice session at brabourne stadium Mumbai. ,0.0,0.0,Neutral,Fact
204,: Pakistan Cricket Team set new record by becoming first team ever to win most T20 matches in single year. This is despite…,0.45869408369408377,0.34415584415584416,Positive,Neutral
205,: jaspritbumrah dataanalysis cricket python cricketanalysis Impact of Jasprit Bumrah in India’s T20 cricket ,0.0,0.0,Neutral,Fact
206,: jaspritbumrah dataanalysis cricket python cricketanalysis Impact of Jasprit Bumrah in India’s T20 cricket ,0.0,0.0,Neutral,Fact
207,: jaspritbumrah dataanalysis cricket python cricketanalysis Impact of Jasprit Bumrah in India’s T20 cricket ,0.0,0.0,Neutral,Fact
